nr;RomName78;RomName;Game;Description
4362;twocrude;twocrude;"Two Crude (c) 1990 Data East USA.
";"North American release. For more information about the game itself, please see the original version entry; ""Crude Buster"".

- TRIVIA -

Two Crude was released in April 1990 in the USA."
4363;twotiger;twotigerc;"Two Tigers (c) 1984 Bally Midway Mfg. Co.
";"Conversion Kit for Tron. For more information about the game itself, please see the original Two Tigers dedicated release; ""Two Tigers [No. 0A79]"".

Two Tigers Conversion Kit has significantly different gameplay and stuff to the dedicated release:
* No speed function.
* Speed is constant.
* Steering controlled by an optical encoder on a spinner.
* Different interface locations.
* Ship graphics vary.
* All Stages occur during the day.
* All crashes include pilot escape with parachute.
* Ships shoot to crosshairs.
* Player planes have background engine sound.
* Different high score music.
* Dogfight involves shooting down the opponent's aircraft and avoiding the crosshairs.
* Sea level is halfway up the screen,.
* Only Bally / Midway appears in attract mode.
* There is no Hero table for Dogfight mode.
* Cloud graphics have middle line mirrored horizontally for better appearance.
* Ships have a wake."
4364;twotigra;twotiger;"Two Tigers (c) 1984 Bally Midway.
";Two Tigers is a 2-D shooter. The game starts by telling you how may hits you must make on the ship before you can claim credit for sinking it. You then will go to the next screen which has your fighter/bomber in the middle of the screen. A gunsight will also be somewhere in the sky (the gunsight is actually the spot where anti-aircraft fire will be hitting at). Soon the sky is filled with enemy planes and a ship enters the screen from the left side. You mission will be to do whatever it takes to put the required number of holes into the enemy ship to sink it. You have at your disposal a single bomb and the enemy planes themselves for achieving your goal. Along the way, other things may assist (if you shoot them) such as mines and fuel drums. The game will go until you fail to sink 2 ships. If you are in 2-player cooperative mode, then the number of holes to sink a ship will be increased. The same rules apply, though, for sending it to the bottom of the sea.
4365;tws96;tws96;"Tecmo World Soccer '96 (c) 1996 Tecmo.
";An excellent soccer game featuring great graphics, tons of voiceovers and some of the world's best football nations.
4366;typhoon;typhoon;"Typhoon (c) 1987 Konami.
";"For more information about the game itself, please see the original version entry; ""Ajax [Model GX770]"""
4367;uballoon;uballoon;"Ultra Balloon (c) 1996 SunA Electronics Ind. Company, Limited.
";"A ""Bubble Bobble"" clone."
4368;uccops;uccops;"Undercover Cops (c) 1992 Irem.
";"Dr. Clayborn and his henchmen have taken control of the city and Commissioner Gordon (no, Batman is not in the game) made one last plea for help and called three of New York's Finest undercover cops : Bubba, an ex-professional football player; Flame, a former Miss America; and Claude, a retired philosophy teacher. They must fight every lackey and vanquish Dr. Clayborn in order to restore law and order to the city. Very fun beat-em-up where almost anything can be used as a weapon; fish, rocks, i-beams, cars, etc."
4369;uccopsj;uccopsj;"Undercover Cops (c) 1992 Irem.
";"Dr. Clayborn and his henchmen have taken control of the city and Commissioner Gordon (no, Batman is not in the game) made one last plea for help and called three of New York's Finest undercover cops : Bubba, an ex-professional football player; Flame, a former Miss America; and Claude, a retired philosophy teacher. They must fight every lackey and vanquish Dr. Clayborn in order to restore law and order to the city. Very fun beat-em-up where almost anything can be used as a weapon; fish, rocks, i-beams, cars, etc."
4370;uchuuai;uchuuai;"Mahjong Uchuu yori Ai o Komete (c) 1989 Nichibutsu [Nihon Bussan Company, Limited.].
";Save the mahjong girls from the evil space robots!
4371;uecology;uecology;"Ultimate Ecology (c) 1993 Capcom Company, Limited.
";"Ultimate Ecology is a side-scrolling shoot-em-up with an ecological theme, in which the player must battle a ruthless mega corporation that is slowly destroying the Earth's eco systems with its industrial machines. 

As well as superbly rendered graphics, Eco Fighters features an interesting play mechanic with the addition of an extended metal arm mounted on the side of the player's ship. On the end of the arm is a weapon that can be rotated through 360 degrees. This weapon comes in four different forms; Energy Ball, Long-range Hammer, Laser Sword or Scatter-Bomb foil. The rotatable weapon can be powered up before being fired, in a similar fashion to the 'Force' weapon that featured in Irem's ""R*Type"". The rotatable weapon is also impervious to all enemy contact and can be used as a shield. 

In addition to the rotating weapon, the player's ship is also equipped with forward-firing laser guns. Both the guns and rotatable weapon can be powered-up with greater shot power when the relevant icon is picked up."
4372;ufosensi;ufosensi;"UFO Senshi Youko-chan (c) 1988 Sega.
";You play with a cute extraterrestrial soldier girl named Youko-chan, through a top view city maze full of enemies, after descending of UFO ship, will have to defend the city at all costs using his gun and his power digging to hide and evade enemies such as monsters, gargoyle, evil Knights and robots and pick coins to earn points and save the city.
4373;ultennis;ultennis;"Ultimate Tennis (c) 1993 Art & Magic.
";"In 1993, the first Art & Magic's game has been compared with a tornado in the arcade's world. Based on a clever system of scrolling planes this game looked like a 3D game. The graphic's quality and the extremely good gameplay pushed ""Ultimate Tennis"" to the 2nd place in Germany and  to the 14th place in the Japanese charts and was successfully diffused all around the world : 5.000 boards have been sold worldwide and among them more than 500 boards in Japan!"
4374;ultraman;ultraman;"Ultra Keibitai - Kuusou Tokusatsu Game (c) 1991 Banpresto.
";A one-on-one fighting game based on the Japanese series by Tsuburaya Productions.
4375;ultramhm;ultramhm;"Ultra Maru-hi Mahjong (c) 1993 Apple.
";Mahjong against girls!
4376;ultratnk;ultratnk;"Ultra Tank (c) 1978 Kee Games.
";"Two tanks face off in a maze of blocks. Besides dodging the bullets shot by the opponent, a player must also avoid running into mines. After the game timer expires, the player with the highest score wins.

The game is similar to the original ""Tank"" except the battlefields can be open or have mines and barriers and the tanks can be visible or invisible depending on how the options are selected."
4377;ultrax;ultrax;"Ultra Keibitai (c) 1995 Banpresto.
";"

"
4378;umanclub;umanclub;"Ultraman Club - Tatakae! Ultraman Kyoudai!! (c) 1992 Banpresto.
";"

"
4379;umk3;umk3;"Ultimate Mortal Kombat 3 (c) 1995 Midway Mfg. Co.
";"An update of ""Mortal Kombat 3"", with new characters added to the original MK3 cast. There are lots of other additions and goodies in the game (see Updates section (REV. 1.0))."
4380;umk3r11;umk3r11;"Ultimate Mortal Kombat 3 (c) 1995 Midway Mfg. Co.
";"An update of ""Mortal Kombat 3"", with new characters added to the original MK3 cast. There are lots of other additions and goodies in the game (see Updates section (REV. 1.0))."
4381;undoukai;undoukai;"The Undoukai - Dokoka no Gyoshiryoo no Undoukai (c) 1984 Taito Corp.
";"

"
4382;undrfire;undrfire;"Under Fire (c) 1993 Taito.
";"Hoping to compete with Konami's ""Lethal Enforcers"". this Taito light gun shoot 'em-up has players assuming the role of a special operatives police officer against a vicious gang who's taken over various neighbourhoods, a convenience store, and even an amusement park."
4383;undrfirj;undrfirej;"Under Fire (c) 1993 Taito.
";"Hoping to compete with Konami's ""Lethal Enforcers"". this Taito light gun shoot 'em-up has players assuming the role of a special operatives police officer against a vicious gang who's taken over various neighbourhoods, a convenience store, and even an amusement park."
4384;undrfiru;undrfireu;"Under Fire (c) 1993 Taito.
";"Hoping to compete with Konami's ""Lethal Enforcers"". this Taito light gun shoot 'em-up has players assuming the role of a special operatives police officer against a vicious gang who's taken over various neighbourhoods, a convenience store, and even an amusement park."
4385;uniwars;uniwars;"UniWar S (c) 1980 Irem.
";"Export release. Game developed in Japan. See the original Japanese release entry for more information about the game itself; ""Ginga Teikoku no Gyakushuu"".

- TRIVIA -

Two bootlegs of this game are known as ""Space Battle"" and ""Sky Raiders""."
4386;unsquad;unsquad;"U.N. Squadron (c) 1989 Capcom USA, Incorporated.
";"North American release. For more information on this game itself, refer to the original Japanese entry; ""Area 88 [B-Board 88622B-3]""."
4387;untoucha;untoucha;"Untouchable (c) 1987 Dynax.
";"

"
4388;uopoko;uopokoj;"Puzzle Uo Poko (c) 1998 Cave.
";"Uo Poko is a puzzle game for one or two players (co-operative). The aim is to clear the screen of coloured glass balls by dropping like-coloured balls down onto them. Connecting three or more like-coloured balls creates a chain reaction and causes them to disappear.

Balls are launched into the play area via a joystick controlled 'pinball-plunger' and as in Pinball, the further the plunger is pulled back, the further the coloured ball will travel. Mastering the strength and distance required is essential in order to drop each ball accurately onto its target. To allow players to learn how to use the plunger, the first two stages feature a guide line which shows exactly where a ball will drop. From the third stage onwards, players must use their judgement alone.

Bonus points are awarded if a stage is completed quickly enough. If too much time is taken, however, the bottom of the stage will start to rise, pushing the balls already in play towards the top of the screen. If the top of the screen is reached, the game is over.

Uo Poko features thirty stages of play."
4389;upndown;upndown;"Up'n Down (c) 1983 Sega.
";"Up'n Down is an abstract racing game viewed in a forced third-person perspective. 

The goal of the game is to collect coloured flags, while avoiding the enemy vehicles and obstacles that litter each course. The flags needed are displayed at the top of the screen and are coloured as follows: Light green, blue, red, olive, dark green, magenta, yellow and black. If the flags are collected quickly enough, bonus points are awarded. Collected flags remain visible on the track but are changed to white in colour.

In addition to the enemy vehicles, other hazards to be negotiated include potholes, broken bridges, steep hills and sharp corners. The player's vehicle can jump over both obstacles and vehicles, and if players land their vehicle on an enemy vehicle, the enemy is destroyed. Jumping at the wrong time, however, can send the player's vehicle into the path of an enemy, or off the track completely, resulting in the loss of a life. Players can also control the speed of their vehicle and even move in reverse.

Each round is progressively more difficult than the last, with more obstacles and enemy vehicles littering the courses."
4390;upndownu;upndownu;"Up'n Down (c) 1983 Sega.
";"Up'n Down is an abstract racing game viewed in a forced third-person perspective. 

The goal of the game is to collect coloured flags, while avoiding the enemy vehicles and obstacles that litter each course. The flags needed are displayed at the top of the screen and are coloured as follows: Light green, blue, red, olive, dark green, magenta, yellow and black. If the flags are collected quickly enough, bonus points are awarded. Collected flags remain visible on the track but are changed to white in colour.

In addition to the enemy vehicles, other hazards to be negotiated include potholes, broken bridges, steep hills and sharp corners. The player's vehicle can jump over both obstacles and vehicles, and if players land their vehicle on an enemy vehicle, the enemy is destroyed. Jumping at the wrong time, however, can send the player's vehicle into the path of an enemy, or off the track completely, resulting in the loss of a life. Players can also control the speed of their vehicle and even move in reverse.

Each round is progressively more difficult than the last, with more obstacles and enemy vehicles littering the courses."
4391;urashima;urashima;"Otogizoushi Urashima Mahjong (c) 1989 UPL.
";"

"
4392;usclssic;usclssic;"U.S. Classic (c) 1989 Seta Company, Limited.
";A golf game from Seta.
4393;usg185;usg187c;"Games (c) 1991 U.S. Games.
";"

"
4394;usg252;usgames;"Games (c) 1991 U.S. Games.
";"

"
4395;usg32;usg32;"Super Duper Casino! (c) 1987 U.S. Games.
";"

"
4396;usg82;usg82;"Super Ten (c) 1988 U.S. Games.
";"

"
4397;usg83;superten;"Super Ten (c) 1988 U.S. Games.
";"

"
4398;usg83x;usg83x;"Super Ten (c) 1988 U.S. Games.
";"

"
4399;usvsthem;usvsthem;"Us vs Them (c) 1984 Mylstar Electronics.
";You pilot a starship and must protect earth against alien invaders. You would see frightened citizens and military command personnel, as small intermissions throughout the game. Your mission takes place over San Francisco, Chicago and Hollywood, as well as through forest, mountain and desert terrain.
4400;utoukond;utoukond;"Ultra Toukon Densetsu (c) 1993 Banpresto.
";Horizontal beat'em up featuring, in SD (Super Deformed), Ultraman and his comrades who fight evil monsters.
4401;valkyrie;valkyrie;"ワルキューレの伝説 (c) 1989 Namco.(Valkyrie no Densetsu)
";"

"
4402;valtric;valtric;"Valtric (c) 1986 Jaleco Co.
";"A great vertically scrolling shoot'em up

The player controls a space ship in eight directions through four different overhead view stages, and is able to shoot in the direction the space ship faces. The space ship drop bombs vertically above the ship and the player can pick up power-ups that enhance the ship weapons, as well as attach options that fire in a direction depending on where the option was attached. The player can avoid danger and obstacles by pushing the ascend button. 

The Enemies consist of a infinitely respawning smaller hordes of moving enemies, stationary cannons, and large bosses enemies, you must destroying all the enemies to clear the stage and complete the mission."
4403;vamphalf;vamphalfk;"Vamp x 1/2 (c) 1999 Danbi System.
";"

"
4404;vampj;vampj;"Vampire - The Night Warriors (c) 1994 Capcom Co, Limited.
";"A one-on-one fighting game featuring ten horror-themed characters, such as werewolves, mummies, vampires, etc. duking it out ""Street Fighter"" style. After defeating nine standard opponents, two end bosses must be beaten before the game is completed."
4405;vampja;vampja;"Vampire - The Night Warriors (c) 1994 Capcom Co, Limited.
";"A one-on-one fighting game featuring ten horror-themed characters, such as werewolves, mummies, vampires, etc. duking it out ""Street Fighter"" style. After defeating nine standard opponents, two end bosses must be beaten before the game is completed."
4406;vampjr1;vampjr1;"Vampire - The Night Warriors (c) 1994 Capcom Co, Limited.
";"A one-on-one fighting game featuring ten horror-themed characters, such as werewolves, mummies, vampires, etc. duking it out ""Street Fighter"" style. After defeating nine standard opponents, two end bosses must be beaten before the game is completed."
4407;vandyjal;vandykejal;"Vandyke (c) 1990 UPL.
";"

"
4408;vandyke;vandyke;"Vandyke (c) 1990 UPL.
";"

"
4409;vangrd2;vangrd2;"Vanguard II (c) 1984 SNK.
";"

"
4410;vangrdce;vanguardc;"Vanguard (c) 1981 Centuri, Incorporated.
";"For more information about the game itself, please see the original SNK entry.

- TRIVIA -

Vanguard was released in October 1981 in North America by Centuri, under license from SNK Corp."
4411;vanguard;vanguard;"Vanguard (c) 1981 SNK.
";"Vanguard is a scrolling space shooter (some levels are horizontal, some are diagonal, and some are vertical). Shoot down enemies with your laser. Keep a close eye on your ever decreasing fuel gauge, luckily each enemy that you destroy will add to your remaining fuel. Find the energy pods to be temporarily invulnerable; the energy pods will also increase your fuel level. At the end of each level you must defeat a boss that is guarded by two moving force fields with holes in them. The computer will announce the name of the each zone using some nifty early 80's synthesized speech. The different levels include Mountain Zone, Rainbow Zone, Styx Zone, Rainbow Zone 2, Stripe Zone, Rainbow Zone 3, Bleak Zone, and the City of Mystery."
4412;vanilla;vanilla;"Mahjong Vanilla Syndrome (c) 1991 Nichibutsu.
";The magic door in the forest leads to the domain of the Sexy Bunny Girl who will challenge you at mahjong!
4413;vanvan;vanvan;"Van-Van Car (c) 1983 Sanritsu.
";"The player must use a 4-directional joystick to take control of a yellow racer car (the ""Van-Van Car""), which is on a mission to burst balloons with its front-mounted spike while watching out for the three killer cars."
4414;vanvank;vanvank;"Van-Van Car (c) 1983 Karateco.
";"Export release. Game developed by Sanritsu. See Sanritsu entry for more information about the game itself.

- TRIVIA -

Released in March 1983."
4415;vaportra;vaportra;"Vapor Trail - Hyper Offence Formation (c) 1989 Data East.
";"Export release. Game developed in Japan. For more information about the game itself, see the original Japanese release entry; ""Kuhga - Operation Code Vapor Trail""."
4416;vaportru;vaportrau;"Vapor Trail - Hyper Offence Formation (c) 1989 Data East.
";"Export release. Game developed in Japan. For more information about the game itself, see the original Japanese release entry; ""Kuhga - Operation Code Vapor Trail""."
4417;varth;varthr1;"Varth - Operation Thunderstorm (c) 1992 Capcom Company, Limited.
";"Export release. Game developed in Japan. For more information about the game itself, please see the original Japanese release entry; ""Varth - Operation Thunderstorm [B-Board 88622B-3]""."
4418;varthj;varthj;"Varth - Operation Thunderstorm (c) 1992 Capcom Company, Limited.
";A shoot'em up from Capcom.
4419;varthu;varthu;"Varth - Operation Thunderstorm (c) 1992 Romstar, inc.
";"Export release for North America. Game developed in Japan. For more information about the game itself, please see the original Japanese release entry; ""Varth - Operation Thunderstorm [B-Board 88622B-3]""."
4420;vasara;vasara;"婆裟羅 (c) 2000 Visco Corp.
";"(Vasara)

Vertical shoot'em up with three selectable characters and nice manga style cut scene."
4421;vastar;vastar;"Vastar (c) 1983 Sesame Japan.
";In cosmic calendar 2956, our planet was attacked by the galaxy empire. It was at this critical point that a fighting robot 'VASTAR' was developed by superior scientists. The time has come for 'VASTAR' to defend our planet.
4422;vastar2;vastar2;"Vastar (c) 1983 Sesame Japan.
";In cosmic calendar 2956, our planet was attacked by the galaxy empire. It was at this critical point that a fighting robot 'VASTAR' was developed by superior scientists. The time has come for 'VASTAR' to defend our planet.
4423;vautour;vautour;"Vautour (c) 1980 Jeutel.
";"French bootleg/hack of Amstar's ""Phoenix"".

- TRIVIA -

The title of this game translates from French as 'Vulture'."
4424;vball;vballb;"U.S.Championship Beach Volley - V'Ball (c) 1988 Technos Japan Corp.
";"The player takes control of a pair of beach bums named George and Michael who make their living playing beach volleyball against locals. One day, they find a flyer for a nationwide beach volleyball tournament offering the winning team a $2,500,000 cash prize.

In single-player mode, one person controls both characters on a team. In two-player mode, the players either cooperate by playing on the same team or compete against each other by controlling opposing teams. The American version allows the game to be played by up to four players (if the cabinet allows it). The single-player mode consists of two cycles with four stages: the Minor Circuit and the Major Circuit. The stages in the game are Daytona Beach, New York, Los Angeles and Hawaii. After completing the Major Circuit, the player faces against the U.S. Navy team, set in a naval base.

The controls consist of an eight directional joystick and two buttons for jumping and receiving. The characters perform several moves including power spiking, back spiking, jump-serving, blocking and diving.

There are a few minor differences between the Japanese and American releases. The Japanese release features an opening cut-scene explaining the plot. Between matches, intermission sequences depict the main characters visiting a car dealership to purchase a vehicle. As the player progresses, the cars increase in quality, shifting from used cars to new cars during the Major Circuit. The American release removes these cut-scenes, but extends the multiplayer support to up to four players with multiple game modes: 1 or 2 players against the computer, 1-on-1, 2-on-1, or 2-on-2."
4425;vball2pj;vball2pj;"U.S.Championship Beach Volley - V'Ball (c) 1988 Technos Japan Corp.
";"The player takes control of a pair of beach bums named George and Michael who make their living playing beach volleyball against locals. One day, they find a flyer for a nationwide beach volleyball tournament offering the winning team a $2,500,000 cash prize.

In single-player mode, one person controls both characters on a team. In two-player mode, the players either cooperate by playing on the same team or compete against each other by controlling opposing teams. The American version allows the game to be played by up to four players (if the cabinet allows it). The single-player mode consists of two cycles with four stages: the Minor Circuit and the Major Circuit. The stages in the game are Daytona Beach, New York, Los Angeles and Hawaii. After completing the Major Circuit, the player faces against the U.S. Navy team, set in a naval base.

The controls consist of an eight directional joystick and two buttons for jumping and receiving. The characters perform several moves including power spiking, back spiking, jump-serving, blocking and diving.

There are a few minor differences between the Japanese and American releases. The Japanese release features an opening cut-scene explaining the plot. Between matches, intermission sequences depict the main characters visiting a car dealership to purchase a vehicle. As the player progresses, the cars increase in quality, shifting from used cars to new cars during the Major Circuit. The American release removes these cut-scenes, but extends the multiplayer support to up to four players with multiple game modes: 1 or 2 players against the computer, 1-on-1, 2-on-1, or 2-on-2."
4426;vblokbrk;vblokbrk;"VS Block Breaker (c) 1997 Kaneko.
";Breakout featuring a jumping character and hilarious graphics.
4427;vcircle;vcircle;"Vicious Circle (c) 1996 Atari Games Corporation.
";9 characters bearing a Killer Instinct-esque look go head-to-head in this Atari fighting game.
4428;vendet2p;vendetta2p;"Vendetta (c) 1991 Konami.
";"Export version. For more information about the game itself, please see the original Japanese version entry; Crime Fighters 2 [Model GX081]"
4429;vendetao;vendettar;"Vendetta (c) 1991 Konami.
";"Export version. For more information about the game itself, please see the original Japanese version entry; Crime Fighters 2 [Model GX081]"
4430;vendetas;vendetta2pu;"Vendetta (c) 1991 Konami.
";"Export version. For more information about the game itself, please see the original Japanese version entry; Crime Fighters 2 [Model GX081]"
4431;vendetta;vendetta;"Vendetta (c) 1991 Konami.
";"Export version. For more information about the game itself, please see the original Japanese version entry; Crime Fighters 2 [Model GX081]"
4432;vendettj;vendettaj;"Crime Fighters 2 (c) 1991 Konami.
";"Evil is lurking in Dead End City. In a turf war, the Dead End Gang has kidnapped Kute Kate from the rivals, the Cobras. The Cobras set out to save her and stop the expansion of the Dead End Gang in Vendetta.

The Dead End Gang is looking to expand their territory, so the Cobras must infiltrate every area around the city. First, they must gain entrance to Dead End City. Relying on their fighting skills, the Cobras face a multitude of enemies. However, each member is up for any challenge from the Dead End Gang. The Cobras are a powerful team consisting of: Blood, an ex-prize fighter; Hawk, a former professional wrestler; Boomer, trained in the martial arts; and Sledge, an ex-military convict. Together they must destroy members of the Dead End Gang to get to the leader, Faust, who knows where Kute Kate is being held.

With fists of fury, the Cobras make their way through various areas of Dead End City. They search the construction site for Kate, battling the humanoid weapon The Missing Link to gain information. From there, they are sent on futile chases through other sections of the city, including downtown, the waterfront, and the slums, where the final confrontation with Faust takes place. Throughout the game, the Cobras can pick up special weapons and food for more energy. Each player also has his own 'special attack' method to help defeat the toughest enemies.

Once Kute Kate is rescued and Dead End City is liberated, the Cobras victoriously start back to their home turf. However, much to their surprise, the entrance to their town is blocked by Dead End Gang bosses. The Cobras must gear up once more for the ultimate showdown to restore peace to Dead End City."
4433;vendtaso;vendetta2pd;"Vendetta (c) 1991 Konami.
";"Export version. For more information about the game itself, please see the original Japanese version entry; Crime Fighters 2 [Model GX081]"
4434;venture;venture;"Venture (c) 1981 Exidy.
";"Venture is a 1- or 2-player ""Gauntlet"" style game (although Venture pre-dates the Atari legend by 4 years) set in a multi-level dungeon. The player, armed with a bow and arrow fights through enemy infested levels in the quest to collect treasure.

Each dungeon is represented as a floor plan, populated with a number of ""Space Invader"" like monsters. Numerous rooms and their corresponding doors are clearly marked; these rooms are the treasure rooms and each one must be cleared. When the player enters a room, the viewpoint zooms in on the action and the room takes up the whole screen. Each room has a treasure or weapon guarded by one or more creatures. Players must try to retrieve the treasure while avoiding (or killing) creatures and obstacles. Only in the rooms themselves can players use their bow and arrow.

When the treasure is successfully taken out of the chamber, bonus points are awarded. The screen image then returns to the original, zoomed-out floor plan and the player moves on to the next room of their choice. Once a room has been cleared of its item, the player no longer has access to that room. The player must collect all of the treasures on the current level before descending to another dungeon."
4435;venture2;venture2;"Venture (c) 1981 Exidy.
";"Venture is a 1- or 2-player ""Gauntlet"" style game (although Venture pre-dates the Atari legend by 4 years) set in a multi-level dungeon. The player, armed with a bow and arrow fights through enemy infested levels in the quest to collect treasure.

Each dungeon is represented as a floor plan, populated with a number of ""Space Invader"" like monsters. Numerous rooms and their corresponding doors are clearly marked; these rooms are the treasure rooms and each one must be cleared. When the player enters a room, the viewpoint zooms in on the action and the room takes up the whole screen. Each room has a treasure or weapon guarded by one or more creatures. Players must try to retrieve the treasure while avoiding (or killing) creatures and obstacles. Only in the rooms themselves can players use their bow and arrow.

When the treasure is successfully taken out of the chamber, bonus points are awarded. The screen image then returns to the original, zoomed-out floor plan and the player moves on to the next room of their choice. Once a room has been cleared of its item, the player no longer has access to that room. The player must collect all of the treasures on the current level before descending to another dungeon."
4436;venture4;venture4;"Venture (c) 1981 Exidy.
";"Venture is a 1- or 2-player ""Gauntlet"" style game (although Venture pre-dates the Atari legend by 4 years) set in a multi-level dungeon. The player, armed with a bow and arrow fights through enemy infested levels in the quest to collect treasure.

Each dungeon is represented as a floor plan, populated with a number of ""Space Invader"" like monsters. Numerous rooms and their corresponding doors are clearly marked; these rooms are the treasure rooms and each one must be cleared. When the player enters a room, the viewpoint zooms in on the action and the room takes up the whole screen. Each room has a treasure or weapon guarded by one or more creatures. Players must try to retrieve the treasure while avoiding (or killing) creatures and obstacles. Only in the rooms themselves can players use their bow and arrow.

When the treasure is successfully taken out of the chamber, bonus points are awarded. The screen image then returns to the original, zoomed-out floor plan and the player moves on to the next room of their choice. Once a room has been cleared of its item, the player no longer has access to that room. The player must collect all of the treasures on the current level before descending to another dungeon."
4437;venus;venus;"Venus (c) 1983.
";"

"
4438;vfive;vfive;"V-Five (c) 1993 Toaplan.
";A vertically scrolling shoot 'em up from Toaplan.
4439;vfkids;vfkids;;
4440;vfremix;vfremix;;
4441;vgoalsca;vgoalsca;"V Goal Soccer (c) 1994 Tecmo.
";"

"
4442;vgoalsoc;vgoalsoc;"V Goal Soccer (c) 1994 Tecmo.
";"

"
4443;vhunt2;vhunt2;"Vampire Hunter 2 - Darkstalkers' Revenge (c) 1997 Capcom Company, Limited.
";Fourteen well-animated creatures from Hell rip, tear and otherwise fight for control of the nether-realms.
4444;vhunt2r1;vhunt2r1;"Vampire Hunter 2 - Darkstalkers' Revenge (c) 1997 Capcom Company, Limited.
";Fourteen well-animated creatures from Hell rip, tear and otherwise fight for control of the nether-realms.
4445;vhuntj;vhuntj;"Vampire Hunter - Darkstalkers' Revenge (c) 1995 Capcom Company, Limited.
";The second game in the Darkstalkers series includes 14 horrific fighters.
4446;vhuntjr1;vhuntjr2;"Vampire Hunter - Darkstalkers' Revenge (c) 1995 Capcom Company, Limited.
";The second game in the Darkstalkers series includes 14 horrific fighters.
4447;victlapw;victlapw;"Ace Driver - Victory Lap (c) 1995 Namco.
";A chase-view racing game featuring more tracks and cars than the original.
4448;victorba;victorba;"Victory Banana (c) 09/1982 Exidy.
";"

"
4449;victory;victory;"Victory (c) 1982 Exidy.
";Victory is a game which you control your Battlestar to destroy an alien force which has overrun your planet. This force has installed radar and quark silos on your planet and use their deadly armada to drop paratroopers to the surface to release the quarks. All is not lost however as your Battlestar is equipped capable lasers and shields as well as the 'Doomsday Device'.
4450;victroad;victroad;"Victory Road (c) 1986 Tradewest, Incorporated.
";"Export release. Game developed in Japan. See the original Japanese release for more information about the game itself; ""Dogosoken"".

- TRIVIA -

Released in October 1986 in USA and EUROPE. In this Export release, the voices were changed to speak English dialogue. For example, upon starting the game the player would be greeted by a giant floating head who would exclaim, ""Warriors! Show some guts! You can't escape me! Come get me if you can! Ha ha ha ha haa!"" At this point the floating head would fly off screen and the gameplay commenced. After the player loses a life, one would hear ""Come on, let's fight!"" upon returning to the game.

- SERIES -

1. Ikari Warriors (1986)
2. Victory Road (1986)
3. Ikari III - The Rescue (1989)"
4451;videopin;videopin;"Video Pinball (c) 1979 Atari, Incorporated.
";A great classic pinball game, featuring designs of the 70's Disco era!
4452;viewpoin;viewpoin;"Viewpoint (c) 1992 Sammy.
";"A excellent isometric shooter game.

The player controlling a spaceship through futuristic and claustrophobics space corridors, while fighting on endless battles against swarms of assorted enemies and powerful giant mechanical bosses. You will have at your disposal a main weapon consisting a pulse laser which can be charged up for increased damage and three bombs: one that can make a wave of fire that starts from behind the player's ship and scrolls ""up"" the screen, another that makes a powerful circular nova-like blast, and one that shoots several mini-missiles capable of homing in on multiple targets. The game has 6 great stages in total."
4453;vigilant;vigilantbl;"Vigilante (c) 1988 Data East USA, Incorporated.
";"North American version.

- TRIVIA -

Licensed from Irem Corp. For more information about the game itself, please see the original Irem entry."
4454;vigilntj;vigilantd;"Vigilante (c) 1988 Irem Corp.
";"A sequel to Irem's legendary 1984 beat-em-up, ""Kung-Fu Master"", Vigilante sees the hero's girlfriend, Madonna, kidnapped by a gang of thugs and driven away in the back of their van. The vigilante must fight through five enemy-packed levels to rescue his girlfriend. As with ""Kung-Fu Master"", a tough guardian enemy awaits the player at the end of each level. The guardians must be defeated as quickly as possible as their energy bars will replenish in between the player's attacks.

A weapon, in the form of Nunchakas, can occasionally be found and picked-up; adding to the player's 'kick' and 'punch' fighting moves. Some of the game's many enemies are also armed, with either clubs, chains, knives or guns. The game ends once Madonna is rescued."
4455;vigilntu;vigilanto;"Vigilante (c) 1988 Data East USA, Incorporated.
";"North American version.

- TRIVIA -

Licensed from Irem Corp. For more information about the game itself, please see the original Irem entry."
4456;vimana;vimana;"Vimana (c) 1991 Toaplan.
";"Players control their ship over a constantly scrolling background; the scenery never stops moving until the final level is reached. Players have three weapons at their disposal: the standard shot, a charge shot and a bomb weapon.

The standard shot weapon is a twin-shot weapon capable of strengthening in size and power with upgrades. However, the player has to tap the fire button to fire rapidly; once the button is held down, the ship charges a stronger version of the normal shot capable of spreading out across the entire screen in twelve directions. The player’s bomb weapon, the Circle Bomb, encircles the ship once activated and seeks out enemies upon an additional tap of the bomb button.

There are a total of four items for the player to pick up shot strength, circle bomb, points, and and extra life."
4457;vimana1;vimanaj;"Vimana (c) 1991 Toaplan.
";"Players control their ship over a constantly scrolling background; the scenery never stops moving until the final level is reached. Players have three weapons at their disposal: the standard shot, a charge shot and a bomb weapon.

The standard shot weapon is a twin-shot weapon capable of strengthening in size and power with upgrades. However, the player has to tap the fire button to fire rapidly; once the button is held down, the ship charges a stronger version of the normal shot capable of spreading out across the entire screen in twelve directions. The player’s bomb weapon, the Circle Bomb, encircles the ship once activated and seeks out enemies upon an additional tap of the bomb button.

There are a total of four items for the player to pick up shot strength, circle bomb, points, and and extra life."
